, acc 1
2019-04-15T11:32:47.828925: step 13989, loss 1.03748e-06, acc 1
2019-04-15T11:32:47.965558: step 13990, loss 1.32247e-07, acc 1
2019-04-15T11:32:48.100198: step 13991, loss 1.34853e-06, acc 1
2019-04-15T11:32:48.236833: step 13992, loss 3.21363e-05, acc 1
2019-04-15T11:32:48.370474: step 13993, loss 0.000254418, acc 1
2019-04-15T11:32:48.506113: step 13994, loss 1.58133e-06, acc 1
2019-04-15T11:32:48.645738: step 13995, loss 0.00303671, acc 1
2019-04-15T11:32:48.783370: step 13996, loss 2.11215e-06, acc 1
2019-04-15T11:32:48.918012: step 13997, loss 7.45057e-08, acc 1
2019-04-15T11:32:49.057637: step 13998, loss 2.24626e-06, acc 1
2019-04-15T11:32:49.193274: step 13999, loss 5.21743e-05, acc 1
2019-04-15T11:32:49.330906: step 14000, loss 1.08964e-06, acc 1

Evaluation:
2019-04-15T11:32:49.636090: step 14000, loss 4.58306, acc 0.71576

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-14000

2019-04-15T11:32:50.352429: step 14001, loss 3.23718e-05, acc 1
2019-04-15T11:32:50.478093: step 14002, loss 0.00645843, acc 1
2019-04-15T11:32:50.615724: step 14003, loss 7.07796e-07, acc 1
2019-04-15T11:32:50.752359: step 14004, loss 1.80667e-06, acc 1
2019-04-15T11:32:50.884007: step 14005, loss 4.6938e-07, acc 1
2019-04-15T11:32:51.018648: step 14006, loss 0.00167175, acc 1
2019-04-15T11:32:51.162264: step 14007, loss 0.000146585, acc 1
2019-04-15T11:32:51.302889: step 14008, loss 0.000128735, acc 1
2019-04-15T11:32:51.459467: step 14009, loss 1.80108e-06, acc 1
2019-04-15T11:32:51.607073: step 14010, loss 2.39717e-06, acc 1
2019-04-15T11:32:51.749692: step 14011, loss 1.86265e-09, acc 1
2019-04-15T11:32:51.886326: step 14012, loss 0.0013352, acc 1
2019-04-15T11:32:52.023959: step 14013, loss 0.000128079, acc 1
2019-04-15T11:32:52.159640: step 14014, loss 4.76626e-06, acc 1
2019-04-15T11:32:52.301240: step 14015, loss 0.00034972, acc 1
2019-04-15T11:32:52.437851: step 14016, loss 0.000383781, acc 1
2019-04-15T11:32:52.577478: step 14017, loss 3.89288e-07, acc 1
2019-04-15T11:32:52.718102: step 14018, loss 1.72024e-05, acc 1
2019-04-15T11:32:52.852741: step 14019, loss 1.98918e-06, acc 1
2019-04-15T11:32:52.987381: step 14020, loss 8.56816e-08, acc 1
2019-04-15T11:32:53.121064: step 14021, loss 5.383e-07, acc 1
2019-04-15T11:32:53.254678: step 14022, loss 1.35686e-05, acc 1
2019-04-15T11:32:53.391301: step 14023, loss 0.000222404, acc 1
2019-04-15T11:32:53.535915: step 14024, loss 0.00454421, acc 1
2019-04-15T11:32:53.676538: step 14025, loss 1.6033e-05, acc 1
2019-04-15T11:32:53.815206: step 14026, loss 2.06746e-06, acc 1
2019-04-15T11:32:53.950861: step 14027, loss 8.95916e-07, acc 1
2019-04-15T11:32:54.085444: step 14028, loss 0.00235548, acc 1
2019-04-15T11:32:54.221124: step 14029, loss 0.000234585, acc 1
2019-04-15T11:32:54.357716: step 14030, loss 0.000374721, acc 1
2019-04-15T11:32:54.490361: step 14031, loss 1.55714e-06, acc 1
2019-04-15T11:32:54.638964: step 14032, loss 0.000631505, acc 1
2019-04-15T11:32:54.779588: step 14033, loss 3.69892e-06, acc 1
2019-04-15T11:32:54.917220: step 14034, loss 2.10197e-05, acc 1
2019-04-15T11:32:55.052895: step 14035, loss 4.10881e-06, acc 1
2019-04-15T11:32:55.185503: step 14036, loss 2.94427e-05, acc 1
2019-04-15T11:32:55.325169: step 14037, loss 2.27097e-05, acc 1
2019-04-15T11:32:55.463759: step 14038, loss 1.70802e-06, acc 1
2019-04-15T11:32:55.603384: step 14039, loss 3.27484e-05, acc 1
2019-04-15T11:32:55.746044: step 14040, loss 6.83578e-07, acc 1
2019-04-15T11:32:55.882688: step 14041, loss 2.77141e-06, acc 1
2019-04-15T11:32:56.019272: step 14042, loss 0.000176463, acc 1
2019-04-15T11:32:56.154910: step 14043, loss 0.00457339, acc 1
2019-04-15T11:32:56.289587: step 14044, loss 3.39162e-06, acc 1
2019-04-15T11:32:56.424228: step 14045, loss 0.0057317, acc 1
2019-04-15T11:32:56.557831: step 14046, loss 1.39698e-07, acc 1
2019-04-15T11:32:56.697458: step 14047, loss 0.116791, acc 0.984375
2019-04-15T11:32:56.846061: step 14048, loss 3.34136e-06, acc 1
2019-04-15T11:32:56.982735: step 14049, loss 0.000337348, acc 1
2019-04-15T11:32:57.115342: step 14050, loss 2.76781e-06, acc 1
2019-04-15T11:32:57.253014: step 14051, loss 8.19849e-05, acc 1
2019-04-15T11:32:57.389607: step 14052, loss 1.91852e-07, acc 1
2019-04-15T11:32:57.529234: step 14053, loss 0.0155421, acc 0.984375
2019-04-15T11:32:57.673847: step 14054, loss 7.79445e-06, acc 1
2019-04-15T11:32:57.810482: step 14055, loss 0.000699861, acc 1
2019-04-15T11:32:57.955094: step 14056, loss 2.29686e-05, acc 1
2019-04-15T11:32:58.089774: step 14057, loss 9.49707e-05, acc 1
2019-04-15T11:32:58.228365: step 14058, loss 7.99496e-05, acc 1
2019-04-15T11:32:58.362005: step 14059, loss 0.000441394, acc 1
2019-04-15T11:32:58.496647: step 14060, loss 5.59063e-05, acc 1
2019-04-15T11:32:58.638267: step 14061, loss 1.27425e-05, acc 1
2019-04-15T11:32:58.776900: step 14062, loss 4.91054e-05, acc 1
2019-04-15T11:32:58.918518: step 14063, loss 0.000945198, acc 1
2019-04-15T11:32:59.065125: step 14064, loss 5.64108e-06, acc 1
2019-04-15T11:32:59.199765: step 14065, loss 1.06171e-07, acc 1
2019-04-15T11:32:59.338433: step 14066, loss 5.12543e-05, acc 1
2019-04-15T11:32:59.477023: step 14067, loss 6.81715e-07, acc 1
2019-04-15T11:32:59.617648: step 14068, loss 0.00613077, acc 1
2019-04-15T11:32:59.752287: step 14069, loss 2.74744e-05, acc 1
2019-04-15T11:32:59.892911: step 14070, loss 0.00164017, acc 1
2019-04-15T11:33:00.028548: step 14071, loss 0.00359534, acc 1
2019-04-15T11:33:00.179146: step 14072, loss 3.05688e-05, acc 1
2019-04-15T11:33:00.334731: step 14073, loss 0.0280748, acc 0.984375
2019-04-15T11:33:00.471365: step 14074, loss 7.62066e-05, acc 1
2019-04-15T11:33:00.608997: step 14075, loss 0.000550901, acc 1
2019-04-15T11:33:00.745631: step 14076, loss 2.5493e-05, acc 1
2019-04-15T11:33:00.880309: step 14077, loss 6.54557e-05, acc 1
2019-04-15T11:33:01.016905: step 14078, loss 0.00124414, acc 1
2019-04-15T11:33:01.151587: step 14079, loss 0.00229756, acc 1
2019-04-15T11:33:01.296159: step 14080, loss 6.57509e-07, acc 1
2019-04-15T11:33:01.436782: step 14081, loss 9.95962e-05, acc 1
2019-04-15T11:33:01.578403: step 14082, loss 0.000142071, acc 1
2019-04-15T11:33:01.715075: step 14083, loss 1.55713e-06, acc 1
2019-04-15T11:33:01.853704: step 14084, loss 3.59665e-06, acc 1
2019-04-15T11:33:01.989343: step 14085, loss 1.76481e-05, acc 1
2019-04-15T11:33:02.122991: step 14086, loss 0.000193606, acc 1
2019-04-15T11:33:02.267560: step 14087, loss 4.6686e-05, acc 1
2019-04-15T11:33:02.411176: step 14088, loss 0.000261848, acc 1
2019-04-15T11:33:02.545816: step 14089, loss 0.000229724, acc 1
2019-04-15T11:33:02.690429: step 14090, loss 4.52035e-06, acc 1
2019-04-15T11:33:02.828061: step 14091, loss 1.05524e-05, acc 1
2019-04-15T11:33:02.963737: step 14092, loss 0.000208775, acc 1
2019-04-15T11:33:03.097398: step 14093, loss 8.58025e-06, acc 1
2019-04-15T11:33:03.235012: step 14094, loss 4.94837e-06, acc 1
2019-04-15T11:33:03.372645: step 14095, loss 1.08404e-06, acc 1
2019-04-15T11:33:03.516220: step 14096, loss 9.31322e-09, acc 1
2019-04-15T11:33:03.663826: step 14097, loss 0.000125111, acc 1
2019-04-15T11:33:03.800460: step 14098, loss 3.64131e-06, acc 1
2019-04-15T11:33:03.934102: step 14099, loss 7.0304e-05, acc 1
2019-04-15T11:33:04.064753: step 14100, loss 3.75382e-05, acc 1

Evaluation:
2019-04-15T11:33:04.354977: step 14100, loss 4.6472, acc 0.718574

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-14100

2019-04-15T11:33:04.938524: step 14101, loss 0.000105738, acc 1
2019-04-15T11:33:05.067181: step 14102, loss 3.0361e-07, acc 1
2019-04-15T11:33:05.195835: step 14103, loss 0.0007567, acc 1
2019-04-15T11:33:05.327484: step 14104, loss 2.68219e-07, acc 1
2019-04-15T11:33:05.472098: step 14105, loss 1.50858e-05, acc 1
2019-04-15T11:33:05.628678: step 14106, loss 0.0039823, acc 1
2019-04-15T11:33:05.782268: step 14107, loss 4.41083e-05, acc 1
2019-04-15T11:33:05.924887: step 14108, loss 0.00207031, acc 1
2019-04-15T11:33:06.064514: step 14109, loss 8.78553e-05, acc 1
2019-04-15T11:33:06.225082: step 14110, loss 2.4768e-05, acc 1
2019-04-15T11:33:06.372689: step 14111, loss 0.000918779, acc 1
2019-04-15T11:33:06.515307: step 14112, loss 0.029482, acc 0.984375
2019-04-15T11:33:06.658922: step 14113, loss 0.00224371, acc 1
2019-04-15T11:33:06.798550: step 14114, loss 0.000103691, acc 1
2019-04-15T11:33:06.936220: step 14115, loss 3.17724e-05, acc 1
2019-04-15T11:33:07.073813: step 14116, loss 4.90865e-05, acc 1
2019-04-15T11:33:07.207495: step 14117, loss 1.08072e-05, acc 1
2019-04-15T11:33:07.342095: step 14118, loss 0.00151333, acc 1
2019-04-15T11:33:07.476736: step 14119, loss 0.000751197, acc 1
2019-04-15T11:33:07.624341: step 14120, loss 5.52949e-06, acc 1
2019-04-15T11:33:07.760976: step 14121, loss 5.2154e-08, acc 1
2019-04-15T11:33:07.895615: step 14122, loss 4.12373e-06, acc 1
2019-04-15T11:33:08.032249: step 14123, loss 2.42144e-08, acc 1
2019-04-15T11:33:08.169881: step 14124, loss 0.00994542, acc 1
2019-04-15T11:33:08.306517: step 14125, loss 3.61147e-06, acc 1
2019-04-15T11:33:08.441155: step 14126, loss 0.0638473, acc 0.984375
2019-04-15T11:33:08.584774: step 14127, loss 1.49012e-08, acc 1
2019-04-15T11:33:08.721448: step 14128, loss 0.000369938, acc 1
2019-04-15T11:33:08.862072: step 14129, loss 7.07804e-08, acc 1
2019-04-15T11:33:08.996670: step 14130, loss 0.0274768, acc 0.984375
2019-04-15T11:33:09.138292: step 14131, loss 0.00264944, acc 1
2019-04-15T11:33:09.273928: step 14132, loss 4.59835e-05, acc 1
2019-04-15T11:33:09.407605: step 14133, loss 0.000945448, acc 1
2019-04-15T11:33:09.545204: step 14134, loss 0.00010571, acc 1
2019-04-15T11:33:09.685826: step 14135, loss 0.000233056, acc 1
2019-04-15T11:33:09.824455: step 14136, loss 7.88852e-06, acc 1
2019-04-15T11:33:09.960132: step 14137, loss 0.0247705, acc 0.984375
2019-04-15T11:33:10.096727: step 14138, loss 2.14204e-07, acc 1
2019-04-15T11:33:10.240345: step 14139, loss 1.13492e-05, acc 1
2019-04-15T11:33:10.375981: step 14140, loss 1.90356e-06, acc 1
2019-04-15T11:33:10.511617: step 14141, loss 3.0062e-06, acc 1
2019-04-15T11:33:10.657228: step 14142, loss 2.6858e-06, acc 1
2019-04-15T11:33:10.791927: step 14143, loss 0.000344181, acc 1
2019-04-15T11:33:10.926508: step 14144, loss 0.000117695, acc 1
2019-04-15T11:33:11.059193: step 14145, loss 0.137515, acc 0.984375
2019-04-15T11:33:11.207758: step 14146, loss 3.4263e-05, acc 1
2019-04-15T11:33:11.351372: step 14147, loss 0.00771548, acc 1
2019-04-15T11:33:11.490001: step 14148, loss 3.04893e-06, acc 1
2019-04-15T11:33:11.630625: step 14149, loss 2.79651e-05, acc 1
2019-04-15T11:33:11.767296: step 14150, loss 0.0749248, acc 0.984375
2019-04-15T11:33:11.901958: step 14151, loss 0.00907316, acc 1
2019-04-15T11:33:12.035542: step 14152, loss 4.14277e-05, acc 1
2019-04-15T11:33:12.171213: step 14153, loss 7.61638e-06, acc 1
2019-04-15T11:33:12.306817: step 14154, loss 0.00255649, acc 1
2019-04-15T11:33:12.445447: step 14155, loss 0.00871176, acc 1
2019-04-15T11:33:12.583077: step 14156, loss 1.63723e-06, acc 1
2019-04-15T11:33:12.722704: step 14157, loss 0.00054289, acc 1
2019-04-15T11:33:12.860336: step 14158, loss 1.64093e-06, acc 1
2019-04-15T11:33:12.994976: step 14159, loss 0.000745365, acc 1
2019-04-15T11:33:13.128618: step 14160, loss 1.91293e-05, acc 1
2019-04-15T11:33:13.264256: step 14161, loss 1.93714e-07, acc 1
2019-04-15T11:33:13.397898: step 14162, loss 0.000131138, acc 1
2019-04-15T11:33:13.541515: step 14163, loss 5.89864e-06, acc 1
2019-04-15T11:33:13.681140: step 14164, loss 3.00801e-06, acc 1
2019-04-15T11:33:13.816777: step 14165, loss 1.8123e-06, acc 1
2019-04-15T11:33:13.951457: step 14166, loss 3.1851e-07, acc 1
2019-04-15T11:33:14.088097: step 14167, loss 0.000107543, acc 1
2019-04-15T11:33:14.220697: step 14168, loss 1.66693e-05, acc 1
2019-04-15T11:33:14.355338: step 14169, loss 0.00510956, acc 1
2019-04-15T11:33:14.492971: step 14170, loss 6.88105e-05, acc 1
2019-04-15T11:33:14.635588: step 14171, loss 8.48984e-06, acc 1
2019-04-15T11:33:14.772223: step 14172, loss 0.00424886, acc 1
2019-04-15T11:33:14.915839: step 14173, loss 3.0361e-07, acc 1
2019-04-15T11:33:15.048485: step 14174, loss 7.56424e-06, acc 1
2019-04-15T11:33:15.184121: step 14175, loss 9.15922e-06, acc 1
2019-04-15T11:33:15.316766: step 14176, loss 2.06027e-05, acc 1
2019-04-15T11:33:15.459385: step 14177, loss 6.06396e-06, acc 1
2019-04-15T11:33:15.597017: step 14178, loss 1.88488e-06, acc 1
2019-04-15T11:33:15.731656: step 14179, loss 9.96175e-05, acc 1
2019-04-15T11:33:15.871282: step 14180, loss 2.1978e-06, acc 1
2019-04-15T11:33:16.005924: step 14181, loss 3.51735e-05, acc 1
2019-04-15T11:33:16.137570: step 14182, loss 4.47032e-07, acc 1
2019-04-15T11:33:16.271212: step 14183, loss 2.17928e-07, acc 1
2019-04-15T11:33:16.406850: step 14184, loss 0.000225874, acc 1
2019-04-15T11:33:16.537501: step 14185, loss 9.79939e-06, acc 1
2019-04-15T11:33:16.684108: step 14186, loss 1.44154e-05, acc 1
2019-04-15T11:33:16.820743: step 14187, loss 8.89116e-05, acc 1
2019-04-15T11:33:16.959373: step 14188, loss 6.42111e-06, acc 1
2019-04-15T11:33:17.098001: step 14189, loss 0.000307742, acc 1
2019-04-15T11:33:17.233641: step 14190, loss 5.80408e-05, acc 1
2019-04-15T11:33:17.365287: step 14191, loss 0.0010762, acc 1
2019-04-15T11:33:17.503917: step 14192, loss 7.05689e-06, acc 1
2019-04-15T11:33:17.643543: step 14193, loss 0.000882457, acc 1
2019-04-15T11:33:17.779183: step 14194, loss 5.22401e-06, acc 1
2019-04-15T11:33:17.915815: step 14195, loss 1.06354e-06, acc 1
2019-04-15T11:33:18.063458: step 14196, loss 3.14948e-06, acc 1
2019-04-15T11:33:18.197061: step 14197, loss 0.000396198, acc 1
2019-04-15T11:33:18.337685: step 14198, loss 0.000741431, acc 1
2019-04-15T11:33:18.473323: step 14199, loss 3.32324e-05, acc 1
2019-04-15T11:33:18.612949: step 14200, loss 1.95202e-06, acc 1

Evaluation:
2019-04-15T11:33:18.901180: step 14200, loss 4.72448, acc 0.717636

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-14200

2019-04-15T11:33:19.659152: step 14201, loss 1.32247e-07, acc 1
2019-04-15T11:33:19.792794: step 14202, loss 0.000231954, acc 1
2019-04-15T11:33:19.921450: step 14203, loss 0.000350953, acc 1
2019-04-15T11:33:20.053099: step 14204, loss 6.10514e-06, acc 1
2019-04-15T11:33:20.185743: step 14205, loss 2.31107e-05, acc 1
2019-04-15T11:33:20.323377: step 14206, loss 2.62299e-05, acc 1
2019-04-15T11:33:20.465993: step 14207, loss 9.46258e-06, acc 1
2019-04-15T11:33:20.615595: step 14208, loss 3.87429e-07, acc 1
2019-04-15T11:33:20.751230: step 14209, loss 0.025347, acc 0.984375
2019-04-15T11:33:20.888862: step 14210, loss 0.000252638, acc 1
2019-04-15T11:33:21.025499: step 14211, loss 0.0011185, acc 1
2019-04-15T11:33:21.161134: step 14212, loss 7.46436e-06, acc 1
2019-04-15T11:33:21.294776: step 14213, loss 2.088e-06, acc 1
2019-04-15T11:33:21.445374: step 14214, loss 2.15226e-05, acc 1
2019-04-15T11:33:21.588989: step 14215, loss 0.00119304, acc 1
2019-04-15T11:33:21.727656: step 14216, loss 2.10057e-05, acc 1
2019-04-15T11:33:21.863256: step 14217, loss 0.000579369, acc 1
2019-04-15T11:33:22.002884: step 14218, loss 2.23517e-08, acc 1
2019-04-15T11:33:22.134531: step 14219, loss 9.49947e-08, acc 1
2019-04-15T11:33:22.269171: step 14220, loss 5.5877e-05, acc 1
2019-04-15T11:33:22.402850: step 14221, loss 2.2258e-06, acc 1
2019-04-15T11:33:22.547426: step 14222, loss 0.00104936, acc 1
2019-04-15T11:33:22.691042: step 14223, loss 9.49931e-06, acc 1
2019-04-15T11:33:22.825684: step 14224, loss 3.87428e-07, acc 1
2019-04-15T11:33:22.962317: step 14225, loss 5.84421e-05, acc 1
2019-04-15T11:33:23.096958: step 14226, loss 1.93182e-05, acc 1
2019-04-15T11:33:23.231596: step 14227, loss 0.000595815, acc 1
2019-04-15T11:33:23.364242: step 14228, loss 1.93889e-06, acc 1
2019-04-15T11:33:23.509852: step 14229, loss 1.10085e-05, acc 1
2019-04-15T11:33:23.665436: step 14230, loss 0.00673546, acc 1
2019-04-15T11:33:23.802103: step 14231, loss 0.000245642, acc 1
2019-04-15T11:33:23.936711: step 14232, loss 3.50967e-05, acc 1
2019-04-15T11:33:24.071350: step 14233, loss 0.000130623, acc 1
2019-04-15T11:33:24.205990: step 14234, loss 5.51949e-05, acc 1
2019-04-15T11:33:24.340630: step 14235, loss 4.02614e-05, acc 1
2019-04-15T11:33:24.477303: step 14236, loss 7.41793e-06, acc 1
2019-04-15T11:33:24.616892: step 14237, loss 0.00298037, acc 1
2019-04-15T11:33:24.761505: step 14238, loss 0.00015905, acc 1
2019-04-15T11:33:24.898176: step 14239, loss 0.000153512, acc 1
2019-04-15T11:33:25.033814: step 14240, loss 2.81609e-06, acc 1
2019-04-15T11:33:25.168416: step 14241, loss 1.64762e-05, acc 1
2019-04-15T11:33:25.302099: step 14242, loss 2.56809e-05, acc 1
2019-04-15T11:33:25.439724: step 14243, loss 1.33546e-06, acc 1
2019-04-15T11:33:25.579316: step 14244, loss 0.000271845, acc 1
2019-04-15T11:33:25.715952: step 14245, loss 2.42983e-05, acc 1
2019-04-15T11:33:25.858570: step 14246, loss 0.000154595, acc 1
2019-04-15T11:33:25.995207: step 14247, loss 0.000307313, acc 1
2019-04-15T11:33:26.136826: step 14248, loss 0.000401156, acc 1
2019-04-15T11:33:26.273462: step 14249, loss 8.14895e-06, acc 1
2019-04-15T11:33:26.406106: step 14250, loss 2.85284e-06, acc 1
2019-04-15T11:33:26.542780: step 14251, loss 0.00090859, acc 1
2019-04-15T11:33:26.688350: step 14252, loss 5.90965e-06, acc 1
2019-04-15T11:33:26.822991: step 14253, loss 4.34906e-05, acc 1
2019-04-15T11:33:26.958628: step 14254, loss 6.84748e-05, acc 1
2019-04-15T11:33:27.095262: step 14255, loss 1.23118e-06, acc 1
2019-04-15T11:33:27.232894: step 14256, loss 7.37156e-06, acc 1
2019-04-15T11:33:27.370565: step 14257, loss 0.000589166, acc 1
2019-04-15T11:33:27.512147: step 14258, loss 2.93651e-05, acc 1
2019-04-15T11:33:27.654766: step 14259, loss 5.18103e-06, acc 1
2019-04-15T11:33:27.789406: step 14260, loss 7.09695e-06, acc 1
2019-04-15T11:33:27.926041: step 14261, loss 1.71316e-05, acc 1
2019-04-15T11:33:28.060680: step 14262, loss 3.37871e-06, acc 1
2019-04-15T11:33:28.201305: step 14263, loss 8.16915e-05, acc 1
2019-04-15T11:33:28.337938: step 14264, loss 2.58591e-05, acc 1
2019-04-15T11:33:28.473576: step 14265, loss 6.27835e-06, acc 1
2019-04-15T11:33:28.612206: step 14266, loss 8.35297e-05, acc 1
2019-04-15T11:33:28.746845: step 14267, loss 1.93476e-05, acc 1
2019-04-15T11:33:28.882482: step 14268, loss 8.55598e-05, acc 1
2019-04-15T11:33:29.021111: step 14269, loss 7.71125e-07, acc 1
2019-04-15T11:33:29.156748: step 14270, loss 4.53461e-05, acc 1
2019-04-15T11:33:29.303397: step 14271, loss 8.34667e-06, acc 1
2019-04-15T11:33:29.437998: step 14272, loss 0.00507014, acc 1
2019-04-15T11:33:29.576626: step 14273, loss 1.15746e-05, acc 1
2019-04-15T11:33:29.714259: step 14274, loss 0.000255644, acc 1
2019-04-15T11:33:29.850933: step 14275, loss 1.24797e-07, acc 1
2019-04-15T11:33:29.988523: step 14276, loss 0.000105481, acc 1
2019-04-15T11:33:30.121169: step 14277, loss 1.42676e-06, acc 1
2019-04-15T11:33:30.258801: step 14278, loss 1.91334e-05, acc 1
2019-04-15T11:33:30.408403: step 14279, loss 1.87558e-06, acc 1
2019-04-15T11:33:30.542043: step 14280, loss 4.57588e-05, acc 1
2019-04-15T11:33:30.678678: step 14281, loss 0.000152473, acc 1
2019-04-15T11:33:30.813318: step 14282, loss 0.00120033, acc 1
2019-04-15T11:33:30.947958: step 14283, loss 0.00043983, acc 1
2019-04-15T11:33:31.082598: step 14284, loss 1.75088e-07, acc 1
2019-04-15T11:33:31.216241: step 14285, loss 0.000127125, acc 1
2019-04-15T11:33:31.351878: step 14286, loss 8.83809e-06, acc 1
2019-04-15T11:33:31.494498: step 14287, loss 6.72898e-06, acc 1
2019-04-15T11:33:31.640106: step 14288, loss 4.3027e-07, acc 1
2019-04-15T11:33:31.778735: step 14289, loss 0.000168422, acc 1
2019-04-15T11:33:31.914373: step 14290, loss 6.36904e-06, acc 1
2019-04-15T11:33:32.047018: step 14291, loss 0.000354803, acc 1
2019-04-15T11:33:32.183653: step 14292, loss 2.06368e-06, acc 1
2019-04-15T11:33:32.323320: step 14293, loss 1.296e-05, acc 1
2019-04-15T11:33:32.458916: step 14294, loss 6.5378e-07, acc 1
2019-04-15T11:33:32.609517: step 14295, loss 7.30184e-06, acc 1
2019-04-15T11:33:32.748144: step 14296, loss 3.47799e-05, acc 1
2019-04-15T11:33:32.883780: step 14297, loss 5.40227e-05, acc 1
2019-04-15T11:33:33.017423: step 14298, loss 0.000164771, acc 1
2019-04-15T11:33:33.154057: step 14299, loss 4.04361e-05, acc 1
2019-04-15T11:33:33.289734: step 14300, loss 3.71187e-06, acc 1

Evaluation:
2019-04-15T11:33:33.597872: step 14300, loss 4.721, acc 0.72045

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-14300

2019-04-15T11:33:34.222298: step 14301, loss 9.68547e-07, acc 1
2019-04-15T11:33:34.354944: step 14302, loss 1.57761e-06, acc 1
2019-04-15T11:33:34.482603: step 14303, loss 4.65661e-08, acc 1
2019-04-15T11:33:34.627215: step 14304, loss 2.94087e-06, acc 1
2019-04-15T11:33:34.770831: step 14305, loss 1.21449e-05, acc 1
2019-04-15T11:33:34.921430: step 14306, loss 2.98509e-05, acc 1
2019-04-15T11:33:35.069034: step 14307, loss 2.83121e-07, acc 1
2019-04-15T11:33:35.210655: step 14308, loss 9.10809e-07, acc 1
2019-04-15T11:33:35.352278: step 14309, loss 1.9662e-05, acc 1
2019-04-15T11:33:35.523817: step 14310, loss 2.1904e-06, acc 1
2019-04-15T11:33:35.678404: step 14311, loss 3.07334e-07, acc 1
2019-04-15T11:33:35.819029: step 14312, loss 1.30385e-08, acc 1
2019-04-15T11:33:35.966634: step 14313, loss 0.000114374, acc 1
2019-04-15T11:33:36.106260: step 14314, loss 9.31322e-09, acc 1
2019-04-15T11:33:36.241898: step 14315, loss 1.00021e-06, acc 1
2019-04-15T11:33:36.381524: step 14316, loss 0.00866552, acc 1
2019-04-15T11:33:36.517202: step 14317, loss 4.02474e-06, acc 1
2019-04-15T11:33:36.662771: step 14318, loss 8.15241e-05, acc 1
2019-04-15T11:33:36.797412: step 14319, loss 4.53335e-06, acc 1
