,content,rating
31,"Says a proposed $1.05 billion Austin school district bond proposition ""will require no tax rate increase.""",0
32,"""One in 10 babies born in this country is born in Texas.""",0
33,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",0
34,"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",0
35,"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",0
36,"""White men have committed more mass shootings than any other group.""",0
37,"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can't study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""",0
38,"Says that under the Obamacare law, health insurance ""premiums have increased by more than 105 percent since"" 2013.",0
39,"90 percent of Americans ""support universal background checks"" for gun purchases.",0
40,"""The soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",0
41,"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",0
42,"California Lt. Gov. Gavin Newsom was ""for (high-speed rail), before he's against it, and then he's for it again.""",0
43,"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit.""",0
44,"New York has ""the biggest outmigration of citizens of any state.""",0
45,"""We're the only developed nation in the world that doesn't have paid maternity leave.""",0
46,"""Since 2010, Republicans have won unaffiliated voters in every general election.""",0
47,"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",0
48,"North Korea is ""the fifth or fourth most sanctioned nation.""",0
49,"""The bill that I carried cutting MO's income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",0
50,"Florida's coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016.""",0
51,"""Republicans want to restore #gunrights to felons""",0
52,"""Ronald Reagan was a verified Democrat until his mid-50s."" ",0
53,"Says the Austin metro region ""will lead"" the nation ""with population growth over 50%"" over the next 30 years.",0
54,"""Even with a permanent income tax increase... the budget is more than $1 billion out of balance＃""",0
55,"""Seventy-six percent of the American people support us passing the DREAM Act ＃ with citizenship and legalization as part of it all. ＃ More than 60 percent of Republicans support that.""",0
56,"Says U.S. Treasury Secretary Steven Mnuchin ""wants to use a government jet that costs $25,000 per hour for his honeymoon.""",0
57,"""Nearly 2/3 of rural Missourians don't have access to broadband. That needs to change.""",0
58,"""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",0
59,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",0
60,"Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",0
61,"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama's Deferred Action for Childhood Arrivals, or DACA.",0
62,"In addition to his compensation as a judge, ""Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.""",0
63,"Under Scott Walker, Wisconsin is ""still 16,000 manufacturing jobs lower than we were during the recession.""",0
64,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",0
65,"""I'm the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""",0
66,"""Most people on Medicaid are kids, or seniors, or the disabled.""",0
67," ""Ted Kaczynski has less restrictive confinement than the youth at Lincoln Hills.""",0
68,"""Half of all immigrant households receive benefits from our social welfare system.""",0
69,"There are""thousands of Georgia workers that are misclassified as independent contractors,"" who lose benefits, including health care.",0
70,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",0
71,"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",0
72,"""We're spending 18 percent of our GDP on healthcare while the average among industrialized countries is closer to 8 percent.""",0
73,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",0
74,The new tax will make soda sold in Chicago among the most expensive in the country.,0
75,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",0
76,"""Undocumented immigrants commit less crimes than the native born.""",0
77,"""More Texans have jobs today than ever before in the history of our state.""",0
78,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors.""",0
79,"""The number of complaints against police officers has decreased from an average when Mr. (Rick) Baker was mayor from 78 to 14.""",0
80,"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",0
81,"The Inland Empire is ""the second fastest growing region"" for jobs in California.",0
82,"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",0
83,"""Of all the money we spend on education, less than 32 percent goes to teachers.""",0
84,"There were 2,761 auto thefts in 2006 under Rick Baker and 1,095 auto thefts in 2016.",0
85,"Republicans have "" won a thousand seats since Obamacare.""",0
86,"""Twitter reaches only 15 percent of the population.""",0
87,"""You've got thousands of people serving in the military who are transgender.""",0
88,"""We had the best jobs report in 16 years.""",0
89,"""We have been able to cut New York's uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""",0
90,"""We now have about one-third of New York's population on Medicaid.""",0
91,Says President Richard Nixon held meetings with heads of state without an American interpreter.,0
92,"""We went from zero A elementary schools when I took office to 16 when I left, and our total A and B schools went up by 260 percent.""",0
93,"Says Paul Ryan ""has not had a public town hall within the district for over 600 days.""",0
94,"""One"" Texas school ""district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year.""",0
95,"""In the '40s, 68 cents of every health care dollar was actually paid for by the patient, today it's only 11 cents.""",0
96,"""One in three people who's receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",0
97,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""",0
98,Says it's documented that City of Austin fees for building an apartment complex are nearly 10 times what Dallas levies.,0
99,"Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""  ",0
100,"California taxes are ""among the highest in the nation.""",0
101,"Says Scott Walker recently said ""he got his bald spot from hitting his head on a cabinet, and it's not a joke, he actually said that his bald spot came because he hit his head on a cabinet.""",0
102,"The New York State Senate ""passed legislation allowing minors to race snowmobiles, get their own hunting licenses, and not be employed gathering or picking rags, cigar stumps, or collecting bones.""",0
103,"France ""wouldn't buy Texas beef for some reason, yet 76 percent of their energy comes from nuclear power.""",0
104,"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",0
105,"""Texas mothers are dying during childbirth at the highest rates in the nation.""",0
106,"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. ＃ This is study after study making this point.""",0
107,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",0
108,"""When colleges and universities are added, education spending is the biggest item in the state budget  〞 about 52 percent of all state dollars.""",0
109," ""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",0
110,"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",0
111,"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,0
112,"Says Jon Ossoff ""doesn't even live in (his) district.""",0
113,"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",0
114,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",0
115,"Says each of the past three years ""has been the hottest on record.""",0
116,"""Americans are 25x more likely to be shot & killed than others in developed countries.""",0
117,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",0
118,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",0
119,"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",0
120,"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",0
121,"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""",0
122,"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",0
123,"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",0
124,"""The waiting list for Pre-K is over in the House budget.""",0
125,"""70 percent of Florida is in drought today.""",0
126,"Clean energy employs ""more than half a million Californians. That's nearly ten times more the number of coal mining jobs that exist in the entire nation.""",0
127,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",0
128,"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",0
129,"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",0
130,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",0
131,"""Many of the countries in question (in Trump's travel ban) don't even have a U.S. embassy there to help us vet.""",0
132,"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",0
133,"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",0
134,"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",0
135,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",0
136,"""More (people) die from indoor air pollution than from malaria, HIV/AIDS and TB combined.""",0
137,"An ""abortion procedure is actually safer than a vasectomy.""",0
138,"""Some of the safest communities in the United States are along the border.""",0
139,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",0
140,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",0
141,"The federal tax code includes ""deductions for birds flying across America.""",0
142,"""Planned Parenthood is the biggest abortion provider in the country.""",0
143,"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",0
144,"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""",0
145,"""40 percent of American households have female primary breadwinners.""",0
146,"""President Trump last month proposed a $6 billion cut in funding to the National Institutes of Health. And thank God our congressmen made a deal last night to not go along with that. They actually increased funding by $2 billion.""",0
147,"Wisconsin politicians get daily expense payments ""even if they don't spend a dime on meals, or lodging or travel,"" and ""no receipts are required for them to get paid.""",0
148,"""In my 30 year career including dozens of capital cases, not a single client of mine has ever been sentenced to death.""",0
149,"""General Flynn got his clearance from the Obama administration.""",0
150,"Poor people pay ""in some cases, up to 25 percent of (their) income for water.""",0
151,"""China account(s) for 90 percent of North Korean trade.""",0
152,"""President Trump has passed more legislation in his first 100 days than any president since Harry Truman.""",0
153,"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",0
154,"The estimated price of President Trump's border wall is the same as the cost of ""one and a half aircraft carriers.""",0
155,"""The 'tax plan' rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",0
156,"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",0
157,"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",0
158,"In Congress, ""on the Democratic side of the room, you've got men and women of all different races; on the other side, you've got a bunch of white men in dark suits, all over 55 or so.""",0
159,Says Texas House rules authorized by the Texas Constitution supersede the state law permitting anyone to record a public government meeting.,0
160,"In the federal government, ""there's $16 billion in duplicate programs"" that can be cut.",0
161,"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",0
162,"Says Bernie Sanders ""is the most popular politician in America today.""",0
163,"""Trump's Cabinet is more white and more male than any first Cabinet since President Ronald Reagan's.""",0
164,"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",0
165,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",0
166,"""More than 260,000 Americans are employed by the domestic solar industry  〞 three times as many workers as employed by the entire coal mining industry.""",0
167,"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",0
168,"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",0
169,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",0
170,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",0
171,"""Our families have the highest property taxes in the country. We must change this.""",0
172,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support 每 by a majority of North Carolinians and members of both parties.""",0
173,"""We've lost 70,000 factories since China joined the World Trade Organization.""",0
174,"Says the University of South Florida invests in oil companies like BP, tobacco companies, weapons manufacturers and private prisons.",0
175,"""African-Americans are grossly overrepresented on Florida's death row.""",0
176,"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter.""",0
177,"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify.",0
178,"""Here are some of the things that are more popular than Congress: hemorrhoids, Nickelback, traffic jams, cockroaches, root canals, colonoscopies, herpes. Even herpes, they couldn't beat herpes in the polls.""",0
179,"""Every day, four North Carolinians die from a medication or drug overdose.""",0
180,"Says Florida has ""the second-lowest taxes, per capita, state taxes of any state in the country.""",0
181,"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.""",0
182,"House Bill 991 ""could lead to the opening of as many as 2,000 new liquor stores.""",0
183,"""75 percent of the town boards in Wisconsin have no women on them at all.""",0
184,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""",0
185,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",0
186,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",0
187,"California's Central Valley and Inland Empire ""are experiencing tremendous job growth.""",0
188,"""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""",0
189,"Of ""30,000 individuals arrested a year for crimes that are 16 or 17, over 95 percent of them do not result in a criminal conviction. Only 1.5 percent of them ultimately go to state prison.""",0
190,"In New York state, ""you cannot charge an older person even one dollar more than a younger person"" for health insurance.",0
191,"""215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers."" ",0
192,"""Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.""",0
193,"Says if a Florida bill (HB 697) punishing sanctuary cities becomes law ""it will be the only law of its kind in the nation.""",0
194,"""Global food demand is expected to increase by 50 to 97 percent by 2050.""",0
195,"""As an undocumented immigrant, you do have constitutional rights here in the United States.""",0
196,"""2.1 million jobs have been created in the last six or seven years"" in California",0
197,"Texas ""spent close to a third of its budget on Medicaid last year, a third of all state spending.""",0
198,"""In fact, if you add up the net wealth of his cabinet, it has more wealth than a third of the American people total -- close to 100 million people.""",0
199,Says Florida officials amended a contract from Lockheed Martin from 305 promised jobs to six.,0
200,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",0
201,"""Since China joined  〞 that's another beauty  〞 the WTO in 2001, the U.S. has lost many more than 60,000 factories.""",0
202,"""Our minority graduation rate went from levels below Milwaukee and Madison, to above 80%"" when I was Beloit school superintendent.",0
203,"""The vast majority of marketplace enrollees have experienced no average premium hike at all.""",0
204,"""South Florida ranks No. 1 in the gap between wages and housing.""",0
205,"The GOP's Obamacare replacement would reduce subsidies that help lower-income people buy health insurance, but also ""expand the entitlement"" by giving subsidies to higher-income people ""that Obamacare never helped.""",0
206,"""In year No. 1, 14 million Americans lose coverage,"" according to the CBO. ",0
207,"""Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.""",0
208,"Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",0
209,"""USAID put $8 billion up and attracted more than $45 billion in a public-private partnership called Power Africa.""",0
210,"Small businesses ""create two out of every three American jobs.""",0
211,"""The average margin of victory in the House of Representatives was 37%"" for Democrats and Republicans in the 2016 election.",0
212,"Wisconsin is ""the most -- if not Number 1, number 2 -- gerrymandered state in the country"" for state legislative boundaries.",0
213,"""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""",0
214,"""There's not one public study, and by public study I mean a study available to the public, that has looked at using the product Kaput to poison feral hogs.""",0
215,"""The past (Obama) administration was the first administration that never had a whole year of 3 percent growth.""",0
216,"Blue Cross Blue Shield ended ""2016 open enrollment with 1 million members in the Florida marketplace.""",0
217,"""Unlawful presence (in the United States) is not a crime.""",0
218,"""A woman working full-time is paid 79 to 80 cents for every dollar a man is paid, and it's even less for women of color, and on average $11,000 per year is lost simply because she isn't a man.""",0
219,"""Currently, half a million Floridians have Alzheimer's disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.""",0
220,"""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",0
221,"""One-third of the counties  〞 think of it, one-third  〞 only have one insurer left"" on the Affordable Care Act exchanges.",0
222,"""And this would be the first year, if everything holds true, we will spend over $10 billion of our state budget on Medicaid out of the $28 billion budget.""",0
223,"Says condoms ""used to be tax-exempt here in Texas.""",0
224,"The Obama administration said ""they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. In fact, they did just the opposite.""",0
225,"""Cost of iPhone: $399",0
226,"The GOP health care plan gives ""$275 billion in tax breaks for the top 2 percent, people earning $250,000 a year or more.""",0
227,"""Florida is now the only state in the nation to tax commercial leases.""",0
228,"Says 70 percent of benefits in Donald Trump's proposal for child care ""go to the people making over $100,000 a year.""",0
229,"""Most U.S. foreign assistance ... is given to U.S. companies and nonprofits in the form of contracts and grants.""",0
230,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",0
231,"Says HB2 has hurt North Carolina's economy by ""one-tenth of 1 percent of our annual GDP.""",0
232,"""Florida pays our teachers $10,000 a year less than the national average.""",0
233,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",0
234,"""I've given the religious schools in my budget more money than ever before in history.""",0
235,"""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City.""",0
236,"""The various offices of state government have purchased more than $11 million in vehicles, not counting leases, for use from the Governor on down during the last two years.""",0
237,"""Corporate entities are paying a lot less taxes this year than they have in the past. Part of that is from a loophole in a bill that was passed in 2015.""",0
238,"Global poverty is down to ""less than 10% today from 37% in 1990.""",0
239,"Says Scott Walker is proposing to add 485 employees ""in the category of supervisor and management"" to his Department of Administration.",0
240,"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization.""",0
241,"""Midland, Texas, now beats the San Francisco area in the percentage of jobs created by startups.""",0
242,"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",0
243,"""You can almost pinpoint half of the gun violence deaths to two or three specific sections in the city. They are just areas of devastation, economically and otherwise.""",0
244,"""Local authorities in 43 states refused to honor more than 16,000 detainer requests from ICE from October 2013 to December 2015. Only in Alaska, Delaware, Hawaii, Maine, Montana, Vermont and Wyoming did local officials honor all requests, and detainers are relatively rare in those states.""",0
245,"There were ""50 percent more murders"" in Orlando and Orange County, Fla., last year ""than in all of Sweden.""",0
246,"""For every extra year a girl goes to school, her income goes up 12 percent.""",0
247,"""Today, 27 million people .. are enslaved.""",0
248,"""Eleven individuals who make over $30 million each got $22 million credit"" from Wisconsin's manufacturing and agriculture tax credit.",0
249,"The status quo led the General Assembly to reduce pension payments four straight years starting in 2005, costing billions of dollars as the delay in contributions essentially borrowed from pension funds at a very high interest rate.",0
250,"New York state subsidizes private colleges ""probably more than any other state except maybe one.""",0
251,"""The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.""",0
252,"In the ""past few weeks,"" President Donald Trump pointed out ""Iranian violations on ballistic missile tests. By the way, these ballistic missiles are inscribed in Hebrew, 'Israel must be destroyed.' """,0
253,"""Before the Affordable Care Act, (West Virginia's) uninsured rate for people 64 to 19 was 29 percent. Today, it is 9 percent.""",0
254,"Of 1 million green cards issued a year, ""almost none of those green cards are based on job skills or demonstrated economic needs.""",0
255,"Israel cut its illegal immigration rate by ""99 percent"" by constructing a 143-mile fence along its southern border.",0
256,"Says ""72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA & YEMEN.""",0
257,"""Just last year, alone, 710 police officers"" were assaulted in New York state.",0
258,"""If you have a family, the current minimum wage easily qualifies you for food stamps.""",0
259,"Graduation rates in Buffalo's school district, which were ""around 48 percent are now up to 64 percent"" since Say Yes Buffalo launched.",0
260,"""Tanzania farmers face 12 years in prison for trading seeds thanks to foreign aid.""",0
261,"""Over 39% of violent criminals return to prison following their release.""",0
262,"""Back when Ted Cruz called Mitch McConnell a liar on the floor of the Senate floor, nobody invoked Rule 19 to censor him.""",0
263,"Says ExxonMobil ""fought to kill"" a rule requiring oil and mining companies to disclose payments made to foreign governments.",0
264,"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",0
265,"Obamacare is ""hurting people right now"" with premium increases of up to 116 percent.",0
266,"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""",0
267,"""In Florida, 70 percent of the people here illegally came on an airplane. They overstayed a visa.""",0
268,"""All of our taxpayers are paying roughly 22% of the U.N. budget.""",0
269,"Says Donald Trump's abortion rule ""puts at risk 15 times more funding and millions more women and families ... than previous similar policies by Republican presidents.""",0
270,"""The chances of being killed by a refugee committing a terrorist act is 1 in 3.6 billion.""",0
271,"The Obama administration issued an ""11th-hour rule that entrenches federal family planning funding for Planned Parenthood.""",0
272,"""The overwhelming majority of America's elite universities, they no longer require history majors to take a single course in American history.""",0
273,"""New York state law says you are alive when you begin to breathe.""",0
274,"North Carolina could save ""literally tens of millions of dollars"" if it stopped prosecuting 16-year-olds as adults.",0
275,"Imitation dairy products often differ nutritionally from those they mimic, and labeling them ""milk"" or ""cheese"" or ""yogurt"" is ""against the law.""",0
276,"""A poll just came out on my inauguration speech. ＃ People loved it. Loved and liked.""",0
277,"""One hundred and ninety-four countries signed the Paris Agreement to control greenhouse gases. Our own voluntary agreement to accomplish the same goal  〞 the Under2  MOU  〞 has 165 signatories, representing a billion people.""",0
278,"""About 30 percent of terrorists at Guantanamo Bay went back into battle. We know that a dozen or so killed Americans.""",0
279,"""In 2015, homicides increased by 17 percent in America's 50 largest cities. That's the largest increase in 25 years.""",0
280,"Twenty-seven percent of Californians, almost 11 million, ""were born in a foreign land.""",0
281,"""Some countries are contributing (peacekeeping) troops because they're making money off of them.""",0
282,"Miami-Dade is ""the first community in the world to break the cycle of local transmission of the Zika virus.""",0
283,"""The White House removed its climate change web page. And the healthcare, civil rights and LGBT sections.""",0
284,"""The exodus of citizens from New York State has been growing.""",0
285,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.""",0
286,"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureau's Supplemental Poverty Measure.",0
287,"Says North Carolinians are ""already paying for"" Medicaid expansion, even though the state hasn't expanded Medicaid.",0
288,"""[The Foundation for Individual Rights] is the recipient of donations from [DeVos] totaling about 25,000 bucks over four years.""",0
289,"The uninsured rate in California reached ""a historic low of 7.4 percent in 2016.""",0
290,"""Florida is ranked 50th in the nation for mental health care funding.""",0
291,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""",0
292,"""By funding the authorization that's already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump's campaign pledge to secure the border.""",0
293,"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens.""",0
294,"Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II.""",0
295,"""I have never once raised the county tax levy -- not for seven straight years.""",0
296,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through."" ",0
297,"Of Sen. Jeff Sessions, ""you've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""",0
298,"""About 8 out of 10 favor changing Obamacare significantly or replacing it altogether.""",0
299,"Says Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, ""made his career on cutting Medicare and Medicaid.""",0
