ratio: 0.1
article_train_X.shape: 1242
article_train_y.shape: 1242
article_test_X.shape: 1384
article_test_y.shape: 1384
Writing to D:\fake_news_detection\runs\1556439652_0.1

2019-04-28T16:20:54.427933: step 1, loss 1.0713, acc 0.609375
2019-04-28T16:21:09.750379: step 120, loss 0.864108, acc 0.730769
2019-04-28T16:21:09.897850: step 121, loss 0.651222, acc 0.671875
2019-04-28T16:21:10.037511: step 122, loss 0.470874, acc 0.71875
2019-04-28T16:21:10.165152: step 123, loss 0.622154, acc 0.703125
2019-04-28T16:21:10.275461: step 124, loss 0.496932, acc 0.734375
2019-04-28T16:21:10.384496: step 125, loss 0.469801, acc 0.6875
2019-04-28T16:21:10.518161: step 126, loss 0.600576, acc 0.671875
2019-04-28T16:21:10.629943: step 127, loss 0.433427, acc 0.8125
2019-04-28T16:21:10.762457: step 128, loss 0.470377, acc 0.671875
2019-04-28T16:21:10.916478: step 129, loss 0.540381, acc 0.734375
2019-04-28T16:21:11.034701: step 130, loss 0.790374, acc 0.59375
2019-04-28T16:21:11.237657: step 131, loss 0.702183, acc 0.578125
2019-04-28T16:21:11.353164: step 132, loss 0.622689, acc 0.640625
2019-04-28T16:21:11.468418: step 133, loss 0.600396, acc 0.6875
2019-04-28T16:21:11.599540: step 134, loss 0.711734, acc 0.765625
2019-04-28T16:21:11.716604: step 135, loss 0.591701, acc 0.640625
2019-04-28T16:21:11.832608: step 136, loss 0.444635, acc 0.71875
2019-04-28T16:21:11.955236: step 137, loss 0.721255, acc 0.65625
2019-04-28T16:21:12.079574: step 138, loss 0.483246, acc 0.75
2019-04-28T16:21:12.187658: step 139, loss 0.453771, acc 0.75
2019-04-28T16:21:12.257595: step 140, loss 0.592138, acc 0.692308
2019-04-28T16:21:12.393619: step 141, loss 0.555859, acc 0.65625
2019-04-28T16:21:12.511814: step 142, loss 0.422938, acc 0.765625
2019-04-28T16:21:12.633013: step 143, loss 0.530002, acc 0.765625
2019-04-28T16:21:12.743943: step 144, loss 0.448879, acc 0.828125
2019-04-28T16:21:12.855621: step 145, loss 0.803864, acc 0.609375
2019-04-28T16:21:12.970595: step 146, loss 0.549559, acc 0.703125
2019-04-28T16:21:13.089476: step 147, loss 0.493773, acc 0.71875
2019-04-28T16:21:13.227474: step 148, loss 0.74498, acc 0.640625
2019-04-28T16:21:13.342621: step 149, loss 0.405611, acc 0.75
2019-04-28T16:21:13.474283: step 150, loss 0.678755, acc 0.734375
2019-04-28T16:21:13.583460: step 151, loss 0.767682, acc 0.625
2019-04-28T16:21:13.754277: step 152, loss 0.50222, acc 0.734375
2019-04-28T16:21:13.908123: step 153, loss 0.56965, acc 0.6875
2019-04-28T16:21:14.045237: step 154, loss 0.416324, acc 0.71875
2019-04-28T16:21:14.184190: step 155, loss 0.406507, acc 0.71875
2019-04-28T16:21:14.339737: step 156, loss 0.497599, acc 0.765625
2019-04-28T16:21:14.528662: step 157, loss 0.840158, acc 0.625
2019-04-28T16:21:14.667132: step 158, loss 0.532367, acc 0.671875
2019-04-28T16:21:14.835246: step 159, loss 0.772741, acc 0.65625
2019-04-28T16:21:14.914606: step 160, loss 1.13727, acc 0.653846
2019-04-28T16:21:15.054739: step 161, loss 0.4745, acc 0.78125
2019-04-28T16:21:15.194970: step 162, loss 0.497098, acc 0.796875
2019-04-28T16:21:15.320731: step 163, loss 0.423924, acc 0.78125
2019-04-28T16:21:15.482123: step 164, loss 0.492874, acc 0.75
2019-04-28T16:21:15.635075: step 165, loss 0.399064, acc 0.78125
2019-04-28T16:21:15.781938: step 166, loss 0.59623, acc 0.71875
2019-04-28T16:21:15.924383: step 167, loss 0.568727, acc 0.71875
2019-04-28T16:21:16.056287: step 168, loss 0.630871, acc 0.640625
2019-04-28T16:21:16.183843: step 169, loss 0.630561, acc 0.671875
2019-04-28T16:21:16.314957: step 170, loss 0.331938, acc 0.84375
2019-04-28T16:21:16.505826: step 171, loss 0.518208, acc 0.625
2019-04-28T16:21:16.651358: step 172, loss 0.370466, acc 0.796875
2019-04-28T16:21:16.789058: step 173, loss 0.698198, acc 0.640625
2019-04-28T16:21:16.923152: step 174, loss 0.474092, acc 0.71875
2019-04-28T16:21:17.041386: step 175, loss 0.413409, acc 0.78125
2019-04-28T16:21:17.163516: step 176, loss 0.539041, acc 0.6875
2019-04-28T16:21:17.296012: step 177, loss 0.589572, acc 0.65625
2019-04-28T16:21:17.441721: step 178, loss 0.512151, acc 0.625
2019-04-28T16:21:17.599941: step 179, loss 0.604047, acc 0.703125
2019-04-28T16:21:17.675676: step 180, loss 0.652257, acc 0.730769
2019-04-28T16:21:17.799482: step 181, loss 0.399558, acc 0.78125
2019-04-28T16:21:17.992581: step 182, loss 0.605448, acc 0.5625
2019-04-28T16:21:18.126748: step 183, loss 0.396269, acc 0.6875
2019-04-28T16:21:18.248908: step 184, loss 0.397032, acc 0.71875
2019-04-28T16:21:18.373095: step 185, loss 0.69557, acc 0.625
2019-04-28T16:21:18.491778: step 186, loss 0.468487, acc 0.703125
2019-04-28T16:21:18.610460: step 187, loss 0.532428, acc 0.703125
2019-04-28T16:21:18.736665: step 188, loss 0.430898, acc 0.734375
2019-04-28T16:21:18.864347: step 189, loss 0.420804, acc 0.765625
2019-04-28T16:21:18.983220: step 190, loss 0.595073, acc 0.65625
2019-04-28T16:21:19.104045: step 191, loss 0.579704, acc 0.671875
2019-04-28T16:21:19.238733: step 192, loss 0.551843, acc 0.65625
2019-04-28T16:21:19.371435: step 193, loss 0.598588, acc 0.78125
2019-04-28T16:21:19.499036: step 194, loss 0.447416, acc 0.75
2019-04-28T16:21:19.635672: step 195, loss 0.491827, acc 0.71875
2019-04-28T16:21:19.764333: step 196, loss 0.471049, acc 0.75
2019-04-28T16:21:19.937886: step 197, loss 0.477961, acc 0.703125
2019-04-28T16:21:20.086209: step 198, loss 0.3148, acc 0.84375
2019-04-28T16:21:20.248387: step 199, loss 0.553935, acc 0.703125
2019-04-28T16:21:20.357802: step 200, loss 0.494922, acc 0.653846

Evaluation:
2019-04-28T16:21:21.004635: step 200, loss 0.812005, acc 0.550578, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556439652_0.1\checkpoints\model-200

2019-04-28T16:21:21.381909: step 201, loss 0.505892, acc 0.703125
2019-04-28T16:21:21.532506: step 202, loss 0.439981, acc 0.71875
2019-04-28T16:21:21.692723: step 203, loss 0.486088, acc 0.671875
2019-04-28T16:21:21.824977: step 204, loss 0.503536, acc 0.703125
2019-04-28T16:21:21.959552: step 205, loss 0.599132, acc 0.703125
2019-04-28T16:21:22.096245: step 206, loss 0.501909, acc 0.71875
2019-04-28T16:21:22.245501: step 207, loss 0.490995, acc 0.65625
2019-04-28T16:21:22.400982: step 208, loss 0.482827, acc 0.734375
2019-04-28T16:21:22.547150: step 209, loss 0.434819, acc 0.71875
2019-04-28T16:21:22.691356: step 210, loss 0.388169, acc 0.78125
2019-04-28T16:21:22.867901: step 211, loss 0.422888, acc 0.765625
2019-04-28T16:21:23.013422: step 212, loss 0.51097, acc 0.703125
2019-04-28T16:21:23.176630: step 213, loss 0.322579, acc 0.734375
2019-04-28T16:21:23.337542: step 214, loss 0.451655, acc 0.703125
2019-04-28T16:21:23.479034: step 215, loss 0.37179, acc 0.734375
2019-04-28T16:21:23.657186: step 216, loss 0.526213, acc 0.765625
2019-04-28T16:21:23.817483: step 217, loss 0.372377, acc 0.84375
2019-04-28T16:21:23.950982: step 218, loss 0.421669, acc 0.796875
2019-04-28T16:21:24.115886: step 219, loss 0.406821, acc 0.734375
2019-04-28T16:21:24.198280: step 220, loss 0.410217, acc 0.730769
2019-04-28T16:21:24.361637: step 221, loss 0.58873, acc 0.75
2019-04-28T16:21:24.497713: step 222, loss 0.529513, acc 0.71875
2019-04-28T16:21:24.643171: step 223, loss 0.439729, acc 0.75
2019-04-28T16:21:24.828599: step 224, loss 0.443561, acc 0.71875
2019-04-28T16:21:25.013533: step 225, loss 0.560877, acc 0.765625
2019-04-28T16:21:25.221049: step 226, loss 0.437943, acc 0.75
2019-04-28T16:21:25.430793: step 227, loss 0.347069, acc 0.78125
2019-04-28T16:21:25.631249: step 228, loss 0.495316, acc 0.6875
2019-04-28T16:21:25.801715: step 229, loss 0.511254, acc 0.6875
2019-04-28T16:21:25.951972: step 230, loss 0.439467, acc 0.78125
2019-04-28T16:21:26.095276: step 231, loss 0.367209, acc 0.78125
2019-04-28T16:21:26.236567: step 232, loss 0.578313, acc 0.703125
2019-04-28T16:21:26.403582: step 233, loss 0.479315, acc 0.765625
2019-04-28T16:21:26.581233: step 234, loss 0.581946, acc 0.65625
2019-04-28T16:21:26.748940: step 235, loss 0.497871, acc 0.796875
2019-04-28T16:21:26.996045: step 236, loss 0.444266, acc 0.703125
2019-04-28T16:21:27.175355: step 237, loss 0.471921, acc 0.796875
2019-04-28T16:21:27.384235: step 238, loss 0.490393, acc 0.71875
2019-04-28T16:21:27.561524: step 239, loss 0.384885, acc 0.765625
2019-04-28T16:21:27.664541: step 240, loss 0.592914, acc 0.730769
2019-04-28T16:21:27.854163: step 241, loss 0.40452, acc 0.734375
2019-04-28T16:21:28.054959: step 242, loss 0.384178, acc 0.796875
2019-04-28T16:21:28.264763: step 243, loss 0.422846, acc 0.796875
2019-04-28T16:21:28.440823: step 244, loss 0.511107, acc 0.796875
2019-04-28T16:21:28.613834: step 245, loss 0.474331, acc 0.734375
2019-04-28T16:21:28.831419: step 246, loss 0.365844, acc 0.78125
2019-04-28T16:21:29.022437: step 247, loss 0.418318, acc 0.8125
2019-04-28T16:21:29.293651: step 248, loss 0.422825, acc 0.734375
2019-04-28T16:21:29.484039: step 249, loss 0.410641, acc 0.765625
2019-04-28T16:21:29.666741: step 250, loss 0.389508, acc 0.828125
2019-04-28T16:21:29.879611: step 251, loss 0.415914, acc 0.8125
2019-04-28T16:21:30.085563: step 252, loss 0.369389, acc 0.703125
2019-04-28T16:21:30.251234: step 253, loss 0.416218, acc 0.71875
2019-04-28T16:21:30.414316: step 254, loss 0.418615, acc 0.71875
2019-04-28T16:21:30.567507: step 255, loss 0.529153, acc 0.71875
2019-04-28T16:21:30.732154: step 256, loss 0.435269, acc 0.734375
2019-04-28T16:21:30.885962: step 257, loss 0.458424, acc 0.8125
2019-04-28T16:21:31.045619: step 258, loss 0.363331, acc 0.75
2019-04-28T16:21:31.210560: step 259, loss 0.35128, acc 0.765625
2019-04-28T16:21:31.296588: step 260, loss 0.497941, acc 0.653846
2019-04-28T16:21:31.454369: step 261, loss 0.355095, acc 0.75
2019-04-28T16:21:31.622719: step 262, loss 0.402606, acc 0.78125
2019-04-28T16:21:31.766641: step 263, loss 0.351391, acc 0.78125
2019-04-28T16:21:31.917630: step 264, loss 0.430535, acc 0.8125
2019-04-28T16:21:32.083994: step 265, loss 0.35225, acc 0.796875
2019-04-28T16:21:32.243247: step 266, loss 0.388878, acc 0.734375
2019-04-28T16:21:32.388655: step 267, loss 0.322447, acc 0.8125
2019-04-28T16:21:32.538736: step 268, loss 0.312226, acc 0.875
2019-04-28T16:21:32.664175: step 269, loss 0.403865, acc 0.6875
2019-04-28T16:21:32.821859: step 270, loss 0.526346, acc 0.703125
2019-04-28T16:21:32.957109: step 271, loss 0.38102, acc 0.8125
2019-04-28T16:21:33.094825: step 272, loss 0.379792, acc 0.765625
2019-04-28T16:21:33.236013: step 273, loss 0.690142, acc 0.65625
2019-04-28T16:21:33.391996: step 274, loss 0.358941, acc 0.75
2019-04-28T16:21:33.536960: step 275, loss 0.344061, acc 0.875
2019-04-28T16:21:33.695921: step 276, loss 0.271804, acc 0.859375
2019-04-28T16:21:33.852139: step 277, loss 0.509314, acc 0.6875
2019-04-28T16:21:34.042851: step 278, loss 0.522911, acc 0.703125
2019-04-28T16:21:34.209509: step 279, loss 0.499584, acc 0.734375
2019-04-28T16:21:34.305818: step 280, loss 0.281072, acc 0.923077
2019-04-28T16:21:34.475252: step 281, loss 0.381183, acc 0.796875
2019-04-28T16:21:34.649170: step 282, loss 0.389849, acc 0.84375
2019-04-28T16:21:34.850487: step 283, loss 0.349296, acc 0.765625
2019-04-28T16:21:35.023453: step 284, loss 0.311866, acc 0.8125
2019-04-28T16:21:35.191174: step 285, loss 0.399513, acc 0.8125
2019-04-28T16:21:35.381209: step 286, loss 0.390406, acc 0.8125
2019-04-28T16:21:35.540678: step 287, loss 0.436376, acc 0.71875
2019-04-28T16:21:35.690261: step 288, loss 0.382058, acc 0.75
2019-04-28T16:21:35.847356: step 289, loss 0.320513, acc 0.796875
2019-04-28T16:21:36.016226: step 290, loss 0.421974, acc 0.671875
2019-04-28T16:21:36.186131: step 291, loss 0.4183, acc 0.765625
2019-04-28T16:21:36.337518: step 292, loss 0.304907, acc 0.796875
2019-04-28T16:21:36.494349: step 293, loss 0.348441, acc 0.765625
2019-04-28T16:21:36.657806: step 294, loss 0.467051, acc 0.703125
2019-04-28T16:21:36.821433: step 295, loss 0.37352, acc 0.71875
2019-04-28T16:21:36.992870: step 296, loss 0.360255, acc 0.765625
2019-04-28T16:21:37.146515: step 297, loss 0.311357, acc 0.859375
2019-04-28T16:21:37.303049: step 298, loss 0.30811, acc 0.8125
2019-04-28T16:21:37.444450: step 299, loss 0.464096, acc 0.75
2019-04-28T16:21:37.537554: step 300, loss 0.148059, acc 0.961538

Evaluation:
2019-04-28T16:21:38.190582: step 300, loss 0.862313, acc 0.546243, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556439652_0.1\checkpoints\model-300

2019-04-28T16:21:38.580379: step 301, loss 0.386637, acc 0.703125
2019-04-28T16:21:38.725066: step 302, loss 0.517907, acc 0.796875
2019-04-28T16:21:38.905090: step 303, loss 0.459109, acc 0.703125
2019-04-28T16:21:39.063357: step 304, loss 0.307077, acc 0.828125
2019-04-28T16:21:39.226592: step 305, loss 0.416066, acc 0.71875
2019-04-28T16:21:39.368962: step 306, loss 0.266744, acc 0.875
2019-04-28T16:21:39.517863: step 307, loss 0.340556, acc 0.8125
2019-04-28T16:21:39.659839: step 308, loss 0.27365, acc 0.75
2019-04-28T16:21:39.785836: step 309, loss 0.441207, acc 0.734375
2019-04-28T16:21:39.971439: step 310, loss 0.397378, acc 0.78125
2019-04-28T16:21:40.155185: step 311, loss 0.346747, acc 0.765625
2019-04-28T16:21:40.322149: step 312, loss 0.438635, acc 0.6875
2019-04-28T16:21:40.495380: step 313, loss 0.362867, acc 0.8125
2019-04-28T16:21:40.653466: step 314, loss 0.393569, acc 0.796875
2019-04-28T16:21:40.808538: step 315, loss 0.359471, acc 0.859375
2019-04-28T16:21:40.959820: step 316, loss 0.402953, acc 0.78125
2019-04-28T16:21:41.116951: step 317, loss 0.451572, acc 0.78125
2019-04-28T16:21:41.290010: step 318, loss 0.501712, acc 0.703125
2019-04-28T16:21:41.429697: step 319, loss 0.444342, acc 0.6875
2019-04-28T16:21:41.515097: step 320, loss 0.374635, acc 0.769231
2019-04-28T16:21:41.676881: step 321, loss 0.321784, acc 0.75
2019-04-28T16:21:41.859631: step 322, loss 0.279034, acc 0.890625
2019-04-28T16:21:42.021583: step 323, loss 0.245786, acc 0.828125
2019-04-28T16:21:42.173168: step 324, loss 0.269492, acc 0.828125
2019-04-28T16:21:42.333950: step 325, loss 0.376127, acc 0.796875
2019-04-28T16:21:42.507601: step 326, loss 0.388985, acc 0.703125
2019-04-28T16:21:42.662006: step 327, loss 0.434583, acc 0.78125
2019-04-28T16:21:42.810796: step 328, loss 0.321937, acc 0.8125
2019-04-28T16:21:42.971386: step 329, loss 0.47013, acc 0.703125
2019-04-28T16:21:43.126096: step 330, loss 0.424465, acc 0.765625
2019-04-28T16:21:43.286798: step 331, loss 0.437681, acc 0.75
2019-04-28T16:21:43.440844: step 332, loss 0.391835, acc 0.78125
2019-04-28T16:21:43.580480: step 333, loss 0.351941, acc 0.796875
2019-04-28T16:21:43.745734: step 334, loss 0.338562, acc 0.765625
2019-04-28T16:21:43.905280: step 335, loss 0.365544, acc 0.796875
2019-04-28T16:21:44.065259: step 336, loss 0.355646, acc 0.765625
2019-04-28T16:21:44.239865: step 337, loss 0.371847, acc 0.75
2019-04-28T16:21:44.412247: step 338, loss 0.28954, acc 0.875
2019-04-28T16:21:44.571084: step 339, loss 0.400434, acc 0.796875
2019-04-28T16:21:44.656795: step 340, loss 0.349174, acc 0.769231
2019-04-28T16:21:44.810716: step 341, loss 0.387353, acc 0.828125
2019-04-28T16:21:44.976197: step 342, loss 0.29171, acc 0.859375
2019-04-28T16:21:45.134145: step 343, loss 0.34683, acc 0.828125
2019-04-28T16:21:45.286113: step 344, loss 0.393408, acc 0.78125
2019-04-28T16:21:45.447587: step 345, loss 0.319128, acc 0.78125
2019-04-28T16:21:45.596650: step 346, loss 0.328639, acc 0.734375
2019-04-28T16:21:45.749369: step 347, loss 0.401325, acc 0.734375
2019-04-28T16:21:45.903469: step 348, loss 0.388653, acc 0.75
2019-04-28T16:21:46.120163: step 349, loss 0.390116, acc 0.8125
2019-04-28T16:21:46.296719: step 350, loss 0.333229, acc 0.8125
2019-04-28T16:21:46.446643: step 351, loss 0.339882, acc 0.859375
2019-04-28T16:21:46.588724: step 352, loss 0.438448, acc 0.6875
2019-04-28T16:21:46.755332: step 353, loss 0.353489, acc 0.75
2019-04-28T16:21:46.929373: step 354, loss 0.340784, acc 0.765625
2019-04-28T16:21:47.087056: step 355, loss 0.397417, acc 0.71875
2019-04-28T16:21:47.249049: step 356, loss 0.38191, acc 0.8125
2019-04-28T16:21:47.432672: step 357, loss 0.377406, acc 0.703125
2019-04-28T16:21:47.579350: step 358, loss 0.317298, acc 0.78125
2019-04-28T16:21:47.757401: step 359, loss 0.297978, acc 0.8125
2019-04-28T16:21:47.853395: step 360, loss 0.336192, acc 0.807692
2019-04-28T16:21:48.027484: step 361, loss 0.25082, acc 0.875
2019-04-28T16:21:48.183321: step 362, loss 0.34354, acc 0.78125
2019-04-28T16:21:48.340604: step 363, loss 0.388491, acc 0.703125
2019-04-28T16:21:48.498198: step 364, loss 0.388943, acc 0.703125
2019-04-28T16:21:48.830888: step 365, loss 0.358, acc 0.8125
2019-04-28T16:21:49.032418: step 366, loss 0.458858, acc 0.734375
2019-04-28T16:21:49.203381: step 367, loss 0.347156, acc 0.859375
2019-04-28T16:21:49.387182: step 368, loss 0.395044, acc 0.703125
2019-04-28T16:21:49.565392: step 369, loss 0.303535, acc 0.78125
2019-04-28T16:21:49.759590: step 370, loss 0.326618, acc 0.75
2019-04-28T16:21:49.933430: step 371, loss 0.38852, acc 0.765625
2019-04-28T16:21:50.106091: step 372, loss 0.269808, acc 0.890625
2019-04-28T16:21:50.259200: step 373, loss 0.354425, acc 0.75
2019-04-28T16:21:50.404489: step 374, loss 0.434609, acc 0.734375
2019-04-28T16:21:50.562561: step 375, loss 0.525169, acc 0.671875
2019-04-28T16:21:50.712108: step 376, loss 0.246087, acc 0.90625
